order_item_key,orders_key,product_key,product_variant_key,time_key,customer_key,platform_key,item_quantity,paid_price,original_unit_price,voucher_platform_amount,voucher_seller_amount,shipping_fee_paid_by_buyer
S00000022,29.2,57.2,299.2,20201206,10026.2,2,1,299.0,299.0,0.0,0.0,114.0
S00000023,30.2,19.2,346.2,20201213,10027.2,2,1,60.0,60.0,0.0,0.0,45.0
S00000024,31.2,19.2,346.2,20201215,10028.2,2,1,60.0,60.0,0.0,0.0,45.0
S00000025,33.2,19.2,346.2,20201217,10030.2,2,1,59.0,60.0,0.0,0.0,44.25
S00000026,34.2,19.2,346.2,20201218,37859.2,2,1,296.0,299.0,0.0,0.0,44.54849498327759
S00000027,35.2,19.2,346.2,20201219,10032.2,2,1,60.0,60.0,0.0,0.0,24.0
S00000028,35.2,19.2,346.2,20201219,10032.2,2,1,60.0,60.0,0.0,0.0,24.0
S00000029,36.2,62.2,304.2,20201221,10033.2,2,1,229.0,229.0,0.0,0.0,113.0
S00000030,37.2,19.2,346.2,20201223,10034.2,2,1,232.0,299.0,0.0,0.0,37.24414715719064
S00000031,39.2,19.2,346.2,20201225,10036.2,2,2,120.0,120.0,0.0,0.0,92.0
S00000032,41.2,62.2,304.2,20201230,10038.2,2,1,229.0,229.0,0.0,0.0,43.0
S00000033,42.2,19.2,148.2,20210102,10039.2,2,1,262.0,350.0,0.0,0.0,85.33714285714287
S00000034,43.2,62.2,304.2,20210102,10040.2,2,1,229.0,229.0,0.0,0.0,70.0
S00000035,44.2,10.2,125.2,20210103,10041.2,2,1,80.0,80.0,0.0,0.0,40.0
S00000036,45.2,19.2,148.2,20210105,10042.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000037,46.2,19.2,148.2,20210108,10043.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000038,47.2,19.2,148.2,20210111,10046.2,2,1,350.0,350.0,0.0,0.0,75.0
S00000039,48.2,19.2,148.2,20210111,10044.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000040,49.2,62.2,304.2,20210111,10045.2,2,1,229.0,229.0,0.0,0.0,70.0
S00000041,50.2,62.2,304.2,20210112,10047.2,2,1,229.0,229.0,0.0,0.0,40.0
S00000042,51.2,19.2,148.2,20210118,10050.2,2,1,350.0,350.0,0.0,0.0,75.0
S00000043,52.2,62.2,304.2,20210118,10048.2,2,1,200.0,200.0,0.0,0.0,40.0
S00000044,53.2,10.2,124.2,20210118,10051.2,2,1,80.0,80.0,0.0,0.0,22.5
S00000045,53.2,10.2,123.2,20210118,10051.2,2,1,80.0,80.0,0.0,0.0,22.5
S00000046,54.2,19.2,148.2,20210118,10049.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000047,55.2,47.2,289.2,20210120,10053.2,2,1,350.0,350.0,0.0,0.0,60.5
S00000048,55.2,19.2,148.2,20210120,10053.2,2,1,350.0,350.0,0.0,0.0,60.5
S00000049,56.2,57.2,384.2,20210120,10052.2,2,1,317.0,350.0,0.0,0.0,16.684210526315788
S00000050,56.2,19.2,148.2,20210120,10052.2,2,1,316.0,350.0,0.0,0.0,16.63157894736842
S00000051,56.2,39.2,249.2,20210120,10052.2,2,1,317.0,350.0,0.0,0.0,16.684210526315788
S00000052,57.2,62.2,304.2,20210123,10054.2,2,1,229.0,229.0,0.0,0.0,40.0
S00000053,58.2,10.2,124.2,20210124,10055.2,2,1,80.0,80.0,0.0,0.0,15.0
S00000054,58.2,10.2,125.2,20210124,10055.2,2,1,80.0,80.0,0.0,0.0,15.0
S00000055,58.2,10.2,123.2,20210124,10055.2,2,1,80.0,80.0,0.0,0.0,15.0
S00000056,59.2,62.2,304.2,20210201,10056.2,2,1,227.0,229.0,0.0,0.0,69.3886462882096
S00000057,60.2,56.2,298.2,20210202,10056.2,2,1,230.0,230.0,0.0,0.0,70.0
S00000058,61.2,19.2,148.2,20210203,10057.2,2,1,350.0,350.0,0.0,0.0,75.0
S00000059,62.2,19.2,148.2,20210204,10058.2,2,1,350.0,350.0,0.0,0.0,75.0
S00000060,63.2,19.2,148.2,20210206,10059.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000061,64.2,10.2,125.2,20210206,10060.2,2,2,160.0,160.0,0.0,0.0,45.0
S00000062,65.2,62.2,304.2,20210206,37859.2,2,1,229.0,229.0,0.0,0.0,40.0
S00000063,66.2,62.2,304.2,20210208,10062.2,2,1,229.0,229.0,0.0,0.0,0.0
S00000064,67.2,19.2,148.2,20210209,37859.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000065,68.2,39.2,249.2,20210209,10063.2,2,1,350.0,350.0,0.0,0.0,70.0
S00000066,69.2,56.2,298.2,20210210,10062.2,2,1,230.0,230.0,0.0,0.0,14.215080346106305
S00000067,69.2,57.2,384.2,20210210,10062.2,2,1,350.0,350.0,0.0,0.0,21.631644004944377
S00000068,69.2,62.2,304.2,20210210,10062.2,2,1,229.0,229.0,0.0,0.0,14.15327564894932
S00000069,70.2,19.2,148.2,20210210,10065.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000070,72.2,57.2,384.2,20210212,10066.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000071,73.2,62.2,304.2,20210215,10068.2,2,1,229.0,229.0,0.0,0.0,22.45098039215686
S00000072,73.2,56.2,298.2,20210215,10068.2,2,1,230.0,230.0,0.0,0.0,22.549019607843135
S00000073,74.2,39.2,249.2,20210216,10069.2,2,1,350.0,350.0,0.0,0.0,40.0
S00000074,75.2,62.2,304.2,20210217,10070.2,2,1,229.0,229.0,0.0,0.0,40.0
S00000075,76.2,39.2,249.2,20210218,10071.2,2,1,350.0,350.0,0.0,0.0,70.0
S00000076,77.2,62.2,304.2,20210219,10072.2,2,2,343.0,458.0,0.0,0.0,60.32412790697675
S00000077,77.2,56.2,298.2,20210219,10072.2,2,1,173.0,230.0,0.0,0.0,30.42587209302326
S00000078,78.2,19.2,148.2,20210223,10073.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000079,79.2,47.2,289.2,20210226,10074.2,2,1,262.0,350.0,0.0,0.0,29.942857142857143
S00000080,80.2,19.2,148.2,20210301,10075.2,2,1,348.0,350.0,0.0,0.0,44.74285714285714
S00000081,81.2,62.2,304.2,20210303,10077.2,2,1,229.0,229.0,0.0,0.0,40.0
S00000082,82.2,19.2,148.2,20210303,10076.2,2,1,350.0,350.0,0.0,0.0,114.0
S00000083,83.2,19.2,148.2,20210303,10078.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000084,84.2,19.2,148.2,20210303,10079.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000085,85.2,19.2,148.2,20210304,10081.2,2,1,347.0,350.0,0.0,0.0,44.61428571428571
S00000086,86.2,19.2,148.2,20210304,10080.2,2,1,290.0,350.0,0.0,0.0,37.285714285714285
S00000087,87.2,39.2,249.2,20210304,10082.2,2,1,350.0,350.0,0.0,0.0,22.499999999999996
S00000088,87.2,19.2,148.2,20210304,10082.2,2,1,350.0,350.0,0.0,0.0,22.499999999999996
S00000089,89.2,19.2,148.2,20210306,10084.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000090,91.2,62.2,304.2,20210307,10085.2,2,1,229.0,229.0,0.0,0.0,40.0
S00000091,92.2,19.2,148.2,20210309,10086.2,2,1,350.0,350.0,0.0,0.0,75.0
S00000092,93.2,39.2,249.2,20210310,10087.2,2,1,350.0,350.0,0.0,0.0,40.0
S00000093,94.2,19.2,148.2,20210314,10088.2,2,1,320.0,350.0,0.0,0.0,41.14285714285714
S00000094,95.2,19.2,148.2,20210315,10089.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000095,96.2,19.2,148.2,20210316,37859.2,2,1,350.0,350.0,0.0,0.0,114.0
S00000096,97.2,19.2,148.2,20210319,10091.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000097,98.2,62.2,304.2,20210320,10092.2,2,1,229.0,229.0,0.0,0.0,70.0
S00000098,99.2,62.2,304.2,20210321,10093.2,2,1,229.0,229.0,0.0,0.0,40.0
S00000099,100.2,39.2,249.2,20210323,10075.2,2,1,325.0,350.0,0.0,0.0,37.14285714285714
S00000100,101.2,62.2,304.2,20210323,10094.2,2,1,171.0,229.0,0.0,0.0,24.90291262135922
S00000101,101.2,10.2,123.2,20210323,10094.2,2,1,60.0,80.0,0.0,0.0,8.737864077669903
S00000102,102.2,10.2,124.2,20210325,10095.2,2,1,75.0,80.0,0.0,0.0,14.825581395348836
S00000103,102.2,19.2,148.2,20210325,10095.2,2,1,328.0,350.0,0.0,0.0,64.83720930232558
S00000104,103.2,62.2,304.2,20210325,10096.2,2,1,229.0,229.0,0.0,0.0,70.0
S00000105,104.2,47.2,289.2,20210325,10097.2,2,1,350.0,350.0,0.0,0.0,40.0
S00000106,105.2,62.2,304.2,20210327,10098.2,2,1,229.0,229.0,0.0,0.0,40.0
S00000107,106.2,19.2,148.2,20210329,10099.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000108,107.2,62.2,304.2,20210401,10085.2,2,1,207.0,229.0,0.0,0.0,36.15720524017467
S00000109,108.2,19.2,148.2,20210404,10101.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000110,109.2,47.2,289.2,20210404,10100.2,2,1,350.0,350.0,0.0,0.0,40.0
S00000111,110.2,19.2,148.2,20210408,10102.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000112,112.2,62.2,304.2,20210409,10103.2,2,1,229.0,229.0,0.0,0.0,68.88126649076517
S00000113,112.2,56.2,298.2,20210409,10103.2,2,1,150.0,150.0,0.0,0.0,45.11873350923483
S00000114,113.2,62.2,304.2,20210409,10104.2,2,1,229.0,229.0,0.0,0.0,40.0
S00000115,114.2,19.2,148.2,20210409,10105.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000116,115.2,19.2,148.2,20210410,37859.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000117,116.2,55.2,297.2,20210411,10109.2,2,1,130.0,130.0,0.0,0.0,40.0
S00000118,117.2,19.2,148.2,20210411,10108.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000119,118.2,19.2,148.2,20210412,10075.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000120,119.2,62.2,304.2,20210413,10110.2,2,1,229.0,229.0,0.0,0.0,40.0
S00000121,120.2,19.2,148.2,20210413,10111.2,2,1,262.0,350.0,0.0,0.0,33.68571428571428
S00000122,121.2,58.2,300.2,20210413,10112.2,2,1,150.0,150.0,0.0,0.0,65.0
S00000123,122.2,19.2,148.2,20210414,10113.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000124,123.2,62.2,304.2,20210415,10114.2,2,1,229.0,229.0,0.0,0.0,40.0
S00000125,125.2,19.2,148.2,20210416,10116.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000126,126.2,62.2,304.2,20210416,10117.2,2,1,229.0,229.0,0.0,0.0,110.0
S00000127,128.2,19.2,148.2,20210417,10119.2,2,1,262.0,350.0,0.0,0.0,53.14857142857143
S00000128,129.2,19.2,148.2,20210417,10118.2,2,1,350.0,350.0,0.0,0.0,71.0
S00000129,130.2,56.2,298.2,20210417,10120.2,2,1,113.0,150.0,0.0,0.0,13.41688654353562
S00000130,130.2,62.2,304.2,20210417,10120.2,2,1,171.0,229.0,0.0,0.0,20.30343007915567
S00000131,131.2,19.2,148.2,20210417,37859.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000132,132.2,60.2,302.2,20210420,10122.2,2,1,130.0,130.0,0.0,0.0,12.1875
S00000133,132.2,39.2,249.2,20210420,10122.2,2,1,350.0,350.0,0.0,0.0,32.8125
S00000134,133.2,19.2,148.2,20210422,37859.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000135,134.2,19.2,148.2,20210424,10124.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000136,135.2,55.2,297.2,20210425,10125.2,2,1,130.0,130.0,0.0,0.0,30.875
S00000137,135.2,19.2,148.2,20210425,10125.2,2,1,350.0,350.0,0.0,0.0,83.125
S00000138,136.2,10.2,125.2,20210425,10126.2,2,1,80.0,80.0,0.0,0.0,15.0
S00000139,136.2,10.2,123.2,20210425,10126.2,2,1,80.0,80.0,0.0,0.0,15.0
S00000140,136.2,10.2,124.2,20210425,10126.2,2,1,80.0,80.0,0.0,0.0,15.0
S00000141,137.2,16.2,343.2,20210426,10128.2,2,1,350.0,350.0,0.0,0.0,40.0
S00000142,139.2,47.2,289.2,20210426,10127.2,2,1,350.0,350.0,0.0,0.0,40.0
S00000143,140.2,19.2,148.2,20210427,10129.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000144,141.2,56.2,298.2,20210427,10131.2,2,1,142.0,150.0,0.0,0.0,12.079395085066162
S00000145,141.2,58.2,300.2,20210427,10131.2,2,1,140.0,150.0,0.0,0.0,11.909262759924385
S00000146,141.2,62.2,304.2,20210427,10131.2,2,1,215.0,229.0,0.0,0.0,18.28922495274102
S00000147,142.2,19.2,148.2,20210427,10130.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000148,143.2,19.2,148.2,20210428,10135.2,2,1,262.0,350.0,0.0,0.0,53.14857142857143
S00000149,144.2,19.2,148.2,20210428,10132.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000150,146.2,16.2,343.2,20210428,37859.2,2,1,75.0,100.0,0.0,0.0,30.0
S00000151,148.2,19.2,148.2,20210429,10144.2,2,1,281.0,350.0,0.0,0.0,57.00285714285714
S00000152,149.2,19.2,148.2,20210429,10140.2,2,1,300.0,350.0,0.0,32.0,15.0
S00000153,149.2,47.2,289.2,20210429,10140.2,2,1,300.0,350.0,0.0,34.0,15.0
S00000154,149.2,39.2,249.2,20210429,10140.2,2,1,300.0,350.0,0.0,34.0,15.0
S00000155,150.2,47.2,289.2,20210429,10137.2,2,1,350.0,350.0,0.0,0.0,40.0
S00000156,151.2,19.2,148.2,20210429,10146.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000157,152.2,19.2,148.2,20210429,10139.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000158,153.2,19.2,148.2,20210429,10145.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000159,154.2,19.2,148.2,20210429,10143.2,2,1,350.0,350.0,0.0,0.0,114.0
S00000160,155.2,19.2,148.2,20210429,10142.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000161,156.2,19.2,148.2,20210429,37859.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000162,157.2,38.2,365.2,20210429,10141.2,2,1,96.0,130.0,0.0,11.0,4.2477876106194685
S00000163,157.2,47.2,289.2,20210429,10141.2,2,2,607.0,700.0,0.0,60.0,26.858407079646017
S00000164,157.2,19.2,148.2,20210429,10141.2,2,1,304.0,350.0,0.0,29.0,13.451327433628318
S00000165,158.2,10.2,125.2,20210502,10149.2,2,1,51.0,80.0,12.0,0.0,18.0625
S00000166,158.2,10.2,124.2,20210502,10149.2,2,1,51.0,80.0,12.0,0.0,18.0625
S00000167,158.2,10.2,123.2,20210502,10149.2,2,1,51.0,80.0,12.0,0.0,18.0625
S00000168,159.2,19.2,148.2,20210502,10148.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000169,160.2,19.2,148.2,20210502,37859.2,2,1,350.0,350.0,0.0,0.0,114.0
S00000170,161.2,19.2,148.2,20210503,10163.2,2,1,325.0,350.0,0.0,25.0,20.892857142857142
S00000171,161.2,15.2,130.2,20210503,10163.2,2,1,325.0,350.0,0.0,25.0,20.892857142857142
S00000172,162.2,19.2,148.2,20210503,10160.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000173,164.2,19.2,148.2,20210503,10162.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000174,165.2,19.2,148.2,20210503,10159.2,2,2,525.0,700.0,0.0,0.0,33.75
S00000175,166.2,19.2,148.2,20210503,10157.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000176,167.2,19.2,148.2,20210503,10152.2,2,1,350.0,350.0,0.0,0.0,71.0
S00000177,168.2,16.2,343.2,20210503,10155.2,2,1,75.0,100.0,0.0,0.0,11.25
S00000178,168.2,16.2,343.2,20210503,10155.2,2,1,75.0,100.0,0.0,0.0,11.25
S00000179,168.2,16.2,343.2,20210503,10155.2,2,1,75.0,100.0,0.0,0.0,11.25
S00000180,169.2,19.2,148.2,20210503,10165.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000181,170.2,19.2,148.2,20210503,10164.2,2,1,262.0,350.0,0.0,0.0,33.68571428571428
S00000182,171.2,19.2,148.2,20210503,37859.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000183,172.2,19.2,148.2,20210503,10168.2,2,2,700.0,700.0,0.0,0.0,44.99999999999999
S00000184,173.2,19.2,148.2,20210503,10151.2,2,1,350.0,350.0,0.0,0.0,71.0
S00000185,174.2,39.2,249.2,20210503,10153.2,2,1,350.0,350.0,0.0,0.0,22.499999999999996
S00000186,174.2,19.2,148.2,20210503,10153.2,2,1,350.0,350.0,0.0,0.0,22.499999999999996
S00000187,176.2,19.2,148.2,20210503,10156.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000188,177.2,19.2,148.2,20210503,10167.2,2,2,700.0,700.0,0.0,0.0,44.99999999999999
S00000189,178.2,19.2,148.2,20210503,10158.2,2,1,312.0,350.0,0.0,0.0,20.057142857142857
S00000190,178.2,16.2,343.2,20210503,10158.2,2,1,311.0,350.0,0.0,0.0,19.99285714285714
S00000191,179.2,19.2,148.2,20210503,10169.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000192,180.2,19.2,148.2,20210503,10161.2,2,2,600.0,700.0,0.0,67.0,92.4
S00000193,180.2,47.2,289.2,20210503,10161.2,2,1,300.0,350.0,0.0,33.0,46.2
S00000194,181.2,19.2,148.2,20210503,10166.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000195,182.2,10.2,124.2,20210504,10183.2,2,1,72.0,80.0,0.0,8.0,13.411764705882353
S00000196,182.2,10.2,123.2,20210504,10183.2,2,1,73.0,80.0,0.0,7.0,13.598039215686274
S00000197,182.2,19.2,148.2,20210504,10183.2,2,1,315.0,350.0,0.0,35.0,58.6764705882353
S00000198,183.2,19.2,148.2,20210504,10175.2,2,1,350.0,350.0,0.0,0.0,32.8125
S00000199,183.2,60.2,302.2,20210504,10175.2,2,1,130.0,130.0,0.0,0.0,12.1875
S00000200,184.2,19.2,148.2,20210504,10187.2,2,1,345.0,350.0,0.0,0.0,44.357142857142854
S00000201,185.2,47.2,289.2,20210504,10189.2,2,1,350.0,350.0,0.0,0.0,40.0
S00000202,186.2,19.2,148.2,20210504,10193.2,2,1,350.0,350.0,0.0,0.0,71.0
S00000203,187.2,10.2,123.2,20210504,10194.2,2,1,60.0,80.0,0.0,7.0,11.176470588235293
S00000204,187.2,10.2,124.2,20210504,10194.2,2,1,61.0,80.0,0.0,8.0,11.362745098039216
S00000205,187.2,19.2,148.2,20210504,10194.2,2,1,261.0,350.0,0.0,35.0,48.61764705882353
S00000206,188.2,19.2,148.2,20210504,10188.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000207,189.2,19.2,148.2,20210504,10191.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000208,190.2,47.2,289.2,20210504,10186.2,2,1,267.0,350.0,0.0,25.0,17.16428571428571
S00000209,190.2,19.2,148.2,20210504,10186.2,2,1,267.0,350.0,0.0,25.0,17.16428571428571
S00000210,191.2,19.2,148.2,20210504,10180.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000211,192.2,19.2,148.2,20210504,10172.2,2,1,322.0,350.0,0.0,0.0,41.4
S00000212,193.2,19.2,148.2,20210504,10195.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000213,194.2,19.2,148.2,20210504,10190.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000214,195.2,19.2,148.2,20210504,10171.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000215,196.2,47.2,289.2,20210504,10179.2,2,1,317.0,350.0,0.0,17.0,15.850000000000001
S00000216,196.2,39.2,249.2,20210504,10179.2,2,1,317.0,350.0,0.0,17.0,15.850000000000001
S00000217,196.2,19.2,148.2,20210504,10179.2,2,1,316.0,350.0,0.0,16.0,15.8
S00000218,197.2,19.2,148.2,20210504,10181.2,2,1,350.0,350.0,0.0,0.0,114.0
S00000219,198.2,19.2,148.2,20210504,10173.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000220,199.2,19.2,148.2,20210504,10176.2,2,1,338.0,350.0,0.0,0.0,43.457142857142856
S00000221,200.2,19.2,148.2,20210504,10178.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000222,201.2,19.2,148.2,20210504,10184.2,2,1,262.0,350.0,0.0,0.0,33.68571428571428
S00000223,202.2,19.2,148.2,20210504,10192.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000224,203.2,47.2,289.2,20210504,10185.2,2,1,350.0,350.0,0.0,0.0,40.0
S00000225,204.2,47.2,289.2,20210504,10182.2,2,1,272.0,350.0,0.0,0.0,31.085714285714285
S00000226,205.2,19.2,148.2,20210504,10177.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000227,206.2,19.2,148.2,20210504,10170.2,2,1,349.0,350.0,0.0,0.0,44.87142857142857
S00000228,207.2,19.2,148.2,20210504,10174.2,2,1,342.0,350.0,0.0,0.0,43.97142857142857
S00000229,208.2,19.2,148.2,20210506,10211.2,2,1,301.0,350.0,0.0,0.0,38.699999999999996
S00000230,209.2,47.2,289.2,20210506,10197.2,2,1,325.0,350.0,0.0,25.0,20.892857142857142
S00000231,209.2,19.2,148.2,20210506,10197.2,2,1,325.0,350.0,0.0,25.0,20.892857142857142
S00000232,210.2,19.2,148.2,20210506,10210.2,2,1,350.0,350.0,0.0,0.0,114.0
S00000233,211.2,19.2,148.2,20210506,10200.2,2,1,350.0,350.0,0.0,0.0,71.0
S00000234,212.2,19.2,148.2,20210506,10208.2,2,2,574.0,700.0,0.0,50.0,104.96
S00000235,213.2,19.2,148.2,20210506,10205.2,2,1,210.0,350.0,70.0,0.0,26.999999999999996
S00000236,214.2,47.2,289.2,20210506,10207.2,2,2,633.0,700.0,0.0,34.0,28.485
S00000237,214.2,39.2,249.2,20210506,10207.2,2,1,317.0,350.0,0.0,16.0,14.264999999999999
S00000238,215.2,47.2,289.2,20210506,10204.2,2,1,350.0,350.0,0.0,0.0,22.499999999999996
S00000239,215.2,19.2,148.2,20210506,10204.2,2,1,350.0,350.0,0.0,0.0,22.499999999999996
S00000240,216.2,19.2,148.2,20210506,10203.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000241,217.2,19.2,148.2,20210506,10209.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000242,218.2,19.2,148.2,20210506,37859.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000243,219.2,10.2,120.2,20210506,10164.2,2,1,75.0,100.0,0.0,0.0,30.0
S00000244,220.2,19.2,148.2,20210506,10206.2,2,1,338.0,350.0,0.0,0.0,43.457142857142856
S00000245,221.2,47.2,289.2,20210506,37859.2,2,1,350.0,350.0,0.0,0.0,65.0
S00000246,222.2,19.2,148.2,20210506,10199.2,2,1,304.0,350.0,0.0,0.0,39.08571428571428
S00000247,224.2,10.2,120.2,20210506,10213.2,2,1,90.0,100.0,0.0,10.0,8.181818181818182
S00000248,224.2,10.2,124.2,20210506,10213.2,2,1,92.0,100.0,0.0,8.0,8.363636363636363
S00000249,224.2,19.2,148.2,20210506,10213.2,2,1,318.0,350.0,0.0,32.0,28.90909090909091
S00000250,225.2,19.2,148.2,20210506,10198.2,2,1,350.0,350.0,0.0,0.0,114.0
S00000251,226.2,19.2,148.2,20210506,10214.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000252,227.2,47.2,289.2,20210506,10202.2,2,1,350.0,350.0,0.0,0.0,40.0
S00000253,228.2,16.2,343.2,20210507,10229.2,2,1,100.0,100.0,0.0,0.0,56.99999999999999
S00000254,228.2,16.2,343.2,20210507,10229.2,2,1,100.0,100.0,0.0,0.0,56.99999999999999
S00000255,229.2,19.2,148.2,20210507,10216.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000256,230.2,19.2,148.2,20210507,10217.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000257,231.2,47.2,289.2,20210507,10231.2,2,1,350.0,350.0,0.0,0.0,65.0
S00000258,232.2,19.2,148.2,20210507,10236.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000259,233.2,19.2,148.2,20210507,10222.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000260,234.2,19.2,148.2,20210507,10239.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000261,235.2,19.2,148.2,20210507,37859.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
S00000262,236.2,19.2,148.2,20210507,10235.2,2,1,350.0,350.0,0.0,0.0,114.0
S00000263,237.2,19.2,148.2,20210507,10224.2,2,1,350.0,350.0,0.0,0.0,44.99999999999999
